Level	Rule Name	Subject	Property	Value
ERROR	missing_label	http://connectdigitalstudy.com/ontology#APIProvider	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AccelerometerMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityAndSleepFeature	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityFlattening	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityIntensityProfile	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityMeasurementX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityPatternFeature	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityPhenotype	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityPhenotypeX	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#ActivityRegularity	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AlgorithmicComputation	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AmbientLightMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AmbientPressureMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AppEngagementMetric	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AppInterface	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AppLaunchMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AppModule	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AppOpenFrequency	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AppUptime	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AppUsageDuration	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AtHome	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#AudioExposureMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#BehavioralMeasurement	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#BlackBoxComputation	rdfs:label	
ERROR	missing_label	http://connectdigitalstudy.com/ontology#CircadianRhythmScore	rdfs:label	
